date,scheme_code,scheme_name,amount
2021-01-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2021-01-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2021-01-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2021-01-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2021-01-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2021-02-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2021-02-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2021-02-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2021-02-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2021-02-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2021-03-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2021-03-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2021-03-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2021-03-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2021-03-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2021-04-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2021-04-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2021-04-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2021-04-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2021-04-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2021-05-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2021-05-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2021-05-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2021-05-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2021-05-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2021-06-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2021-06-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2021-06-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2021-06-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2021-06-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2021-07-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2021-07-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2021-07-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2021-07-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2021-07-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2021-08-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2021-08-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2021-08-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2021-08-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2021-08-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
