symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2021-01-05,NSE,MF,,buy,false,200.00,50.00,T1001,O1001,2021-01-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2021-01-10,NSE,MF,,buy,false,250.00,20.00,T1002,O1002,2021-01-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2021-01-15,NSE,MF,,buy,false,150.00,50.00,T1003,O1003,2021-01-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2021-01-20,NSE,MF,,buy,false,160.00,50.00,T1004,O1004,2021-01-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2021-01-25,NSE,MF,,buy,false,150.00,20.00,T1005,O1005,2021-01-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2021-02-05,NSE,MF,,buy,false,200.00,50.00,T1006,O1006,2021-02-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2021-02-10,NSE,MF,,buy,false,250.00,20.00,T1007,O1007,2021-02-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2021-02-15,NSE,MF,,buy,false,150.00,50.00,T1008,O1008,2021-02-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2021-02-20,NSE,MF,,buy,false,160.00,50.00,T1009,O1009,2021-02-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2021-02-25,NSE,MF,,buy,false,150.00,20.00,T1010,O1010,2021-02-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2021-03-05,NSE,MF,,buy,false,200.00,50.00,T1011,O1011,2021-03-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2021-03-10,NSE,MF,,buy,false,250.00,20.00,T1012,O1012,2021-03-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2021-03-15,NSE,MF,,buy,false,150.00,50.00,T1013,O1013,2021-03-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2021-03-20,NSE,MF,,buy,false,160.00,50.00,T1014,O1014,2021-03-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2021-03-25,NSE,MF,,buy,false,150.00,20.00,T1015,O1015,2021-03-25T10:00:00
